Position,Wages,Count
HR Mgr 3,494354,3
Ast Physcn,499500,6
CFO Med Ctr,508173,1
Sheetmetal Mech,508825,8
Gardener Groundskeeper,509221,11
Prof In Res-Sft-Vm,510375,3
Cmty Health Prg Mgr,511516,8
CMO Med Ctr,512222,1
Cmty Health Prg Chf Ast,513095,6
Engr Asc,514705,7
Dietitian Prn Supv,517590,5
Parking Repr Sr,517807,11
Accountant 1,518806,10
Optometrist Sr,526859,6
Faculty Asst To Chanc,527383,2
Pgy II Pharmacy Resid/Non Rep,532246,13
Blank Ast 3 Supv,538322,13
Hs Assoc Clin Prof-Fy,538609,4
Assoc Librarian -Career Status,539990,8
Clin Rsch Supv,540678,6
Tchn 4 Supv,543372,7
Biomed Equip Tchn 3,544128,5
Recreation Supv Prn,544909,9
Hosp Lab Tchn 3 Supv,547926,6
IT Architect 4,549761,6
Gi Endoscopy Tchn 2,550069,9
Vice Provost,550117,3
Mail Processor Sr,550198,14
Statistician Sr,552977,8
Mental Health Ther 1,554002,15
Computer Resc Spec 1,561828,17
Hvy Duty Equip Tchn,564035,8
Med Ctr Food Svc Worker Ld,566139,11
Tchl Project Mgt Profl 5,568256,6
Nurse Practitioner 3,569680,4
Anl 9,572618,5
Ventilation Mech,572807,8
Clin Spec Ex,578099,9
Editor,578828,18
Pulmonary Tchn 3,580783,9
Physcn Ast Sr,586375,3
Agriculture Supv 2,589819,9
Asst Prof-Fy,591227,8
Design Const Project Mgr 4,593873,6
Radlg Tchno Chf,593875,4
Editor Sr,595790,13
Rad Ther Tchno Sr,601873,5
Med Ctr Food Svc Supv 2,602852,10
Hosp Blank Ast 3 Supv,603679,12
Admin Mgr 4,604832,3
Case Mgr Supv,605646,4
Continuing Educator II,609368,7
Psychologist 3,612405,5
Division Adm,612944,8
Biomed Equip Tchn 2,616195,7
Biomed Equip Tchn 1,621735,8
Storekeeper Sr,624821,14
Lect In Summer Session,628329,44
Prog Coord,630695,12
Faculty Asst To Provost/Dean,632647,4
Mgt Svc Ofcr 1,633398,9
Res-Ay,636585,5
Water And Wastewater Opr,637287,8
Stdt Affairs Ofcr 5 Supv Ex,638292,8
Psychology Intern Ex,639557,33
Bus Tchl Supp Anl 3,639748,11
High Volt Electrn,645546,7
Med Ctr Security Ofcr,646032,17
Career Svc Spec 3,650116,11
Agricultural Tchn Sr,662493,16
Fire Spec 2 56 HRs,674962,7
Agriculture Supt Sr,675332,12
Clin Lic Social Worker Supv,688151,7
Histo Tchno 3,689818,8
COO Med Ctr,695778,1
Assoc Specialist Coop Ext,701016,7
Home Health Nurse 2,706750,6
VC And Dean Som,708108,1
Tchn 3 Supv,708208,12
Cmty Health Prg Repr Sr,709838,18
Hosp Lab Tchn 1,711749,13
Cook Sr,717370,23
Data Sys Anl 4,727529,8
Publ Safety Dispatcher,728280,9
Admin Spec 2 Supv,729807,14
Ultrasound Tchno Prn Supv,731062,5
Phys Ther Ast 2,737792,14
Food Svc Worker,739307,35
Steamfitter,752058,10
Phys Plt Supt Sr,753592,8
Med Ofc Svc Crd 5 Supv,759822,10
Dev Engr Prn,768547,7
Fire Spec 1 56 HRs,772250,7
Clin Spec Nex,774598,14
Assoc Proj Scientist-Fy-B/E/E,783429,10
Stdt Affairs Ofcr 2 Supv,787397,14
Voc Nurse Sr Supv,787757,11
Supv,788002,14
HR Anl 3,790391,15
Pharmacy Tchn 2 Pd,791193,35
Cmty Educ Supv 2,802664,16
Publ Educ Spec 1,808548,24
Angiography Tchno,811468,7
Resp Ther 1,811596,9
Rad Ther Tchno,818593,10
Sr Lect Soe-Ay,819853,8
Patient Rcds Abstractor 2,824235,13
Sys Adm 2,826823,13
Continuing Educator III,828779,6
Cmty Health Prg Mgr Supv,829840,11
Phys Plt Supt Ast,833835,10
Tchn Prn Supv,835747,17
Occupational Ther 2 Nex,836498,9
Lect Psoe-Ay-100%,839449,16
Ehs Spec 1 Ex,845640,13
Assoc Agron Aes,846088,8
Sterile Processing Tchn 1,846189,14
Med Interpreter 1,849632,23
Auto Equip Opr Prn,854007,25
Pharmacist 2 Pd,857653,26
Reader-Gship,869746,159
Sys Adm 5,869777,10
Radlg Tchno Prn Supv,870625,7
Vis Asst Prof,873849,23
HR Anl 5,884343,14
Refrigeration Mech,885127,16
Cmty Educ Spec 3,892397,25
Insp Planner Est Ex,902488,11
Info Sys Anl 3,916954,14
Hosp Lab Tchn 4 Supv Nex,921732,9
Occupational Ther 3 Ex,924916,11
Vis Asst Prof-Hcomp,928948,11
Non Evaluated Pss Ex,936670,34
Police Sergeant,947086,9
Physcn Diplomate Sr,953566,8
Info Sys Supv 2,961620,10
Sterile Processing Tchn 3,963833,14
HR Anl 2,969207,18
Fire Captain 56 HRs,970279,7
Electr Tchn Prn,977102,13
Pharmacist Spec,980781,5
Phys Plt Supt,990674,11
Transplant Crd 2,995996,7
Applications Progr 5,999717,11
Cardiovascular Tchn,1002290,7
Phys Plt Mech Supv Ex,1012536,13
Admin Spec 1,1029194,21
Stdt Affairs Ofcr 4,1030019,18
Fundraiser 4 (Pss),1033602,14
Adj Prof-Hcomp,1041128,12
Hosp Med Transcriber Sr,1043960,19
Design Const Project Mgr 3,1044688,13
Cogen Opr,1053832,15
Hvac Cntrl Tchn,1054517,14
Res-Sft,1057566,6
Med Ctr Cook,1058841,35
Sra 5,1059219,14
Sra 2 Supv,1059325,20
Asst Proj Scientist-Fy-B/E/E,1059363,20
Teacher-Unex,1061665,21
Perfusionist Sr,1063225,5
HR Anl 6,1066335,14
Progr 2,1070821,26
Pulmonary Tchn 1,1073621,13
Patient Biller Supv 4,1079698,16
Agricultural Tchn Prn,1085627,23
Operating Room Equip Spec 2,1093801,12
Patient Biller 4,1095642,22
Anl 1 Supv,1097075,20
Radlg Ast 1,1103067,34
Design Const Project Mgr 5,1108452,12
CEO Med Ctr,1114446,1
Academic Coord III-Fy,1125162,13
Publ Educ Spec 2,1129228,27
Surgical Tchn Prn,1135866,15
Case Mgr Social Worker,1140112,11
HR Anl 4,1150906,18
Cmty Health Prg Repr,1152131,33
Ctrl Heat Cooling Plt Opr,1158084,16
Speech Pathologist Sr Ex,1159337,12
Res-Fy-B/E/E,1159427,7
Dietitian Sr,1161046,13
Asst Specialist Coop Ext,1164740,16
Prg Repr 3,1168287,22
Nurse Practitioner Supv 3,1175677,7
Pharmaceutical Svc Chf Ast,1190971,7
Applications Progr 2,1192182,23
Lab Ast 1,1203395,108
Lab Ast 2,1204211,63
Food Svc Worker Sr,1207682,53
Bldg Maint Worker Sr,1209946,24
Painter,1211953,23
Academic Coord I-Fy,1213908,20
Sys Adm 4,1216144,16
Ehs Spec 4,1242280,16
Anl 9 Supv,1242963,11
Artist Sr,1265022,22
Director,1287249,6
Assoc Coop Ext Advisor,1291497,19
Progr 8 Supv,1322486,12
Physcn Ast,1325343,10
Nuc Med Tchno Sr,1325986,12
Hosp Lab Tchn 3,1333236,17
Library Ast 3,1334909,38
Cmty Health Prg Supv,1336779,24
Act/Interim Dean,1345673,5
Writer Sr,1352846,33
Tchn Sr,1359374,32
Exec Ast 3,1387769,25
Patient Biller Supv 5,1399838,16
Physcn Sr,1403216,5
Dev Engr Ast,1405046,30
Mri Tchno,1406238,12
Bus Sys Anl 3,1409069,22
Dir Ast,1409263,10
Patient Escort,1413153,37
Anesthesia Tchn 2,1427241,18
Admin Spec 1 Supv,1442843,25
Asst Specialist,1455534,39
Comm Spec 4,1459284,19
Emergency Trauma Tchn Sr,1464595,35
Stdt Affairs Ofcr 3 Supv,1467816,23
Admin Nurse,1479263,14
Dev Engr Sr,1480488,22
Ct Tchno,1495344,16
Groundskeeper,1498694,36
Carpenter,1499681,24
Auto Equip Opr Sr,1515793,41
Recall Non-Faculty Acad,1527163,45
Fundraising Mgr 3,1550487,12
Patient Biller 2,1572824,35
Med Ofc Svc Crd 4 Supv,1618183,27
Electrocardiograph Tchn Sr,1644329,31
Asst Prof In Res-Hcomp,1650215,13
Clin Nurse 1,1665349,46
Progr 7 Supv,1665808,17
Recall Hcomp,1674751,15
Surgical Tchn Sr,1760194,31
Clin Nurse 5,1761518,12
Phys Ther 3 Ex,1816528,19
Specialist,1822474,24
Stdt Health Physcn 4,1826889,11
Radlg Tchno Sr,1832548,18
Plumber,1832873,27
Intercol Ath Head Coach Ex,1843237,21
Vice Chan Ast,1851113,10
Asst Adj Prof-Hcomp,1859971,25
IT Architect 5,1870284,19
Dietitian 2,1873060,30
Assoc Specialist,1876034,40
Hosp Blank Ast 1,1877840,52
Intercol Ath Coach Ast Ex,1883635,63
Custodian,1897973,79
Psychologist 2,1899024,25
Asst Coop Ext Advisor,1911278,37
Sterile Processing Tchn 2,1924000,35
Assoc Adj Prof-Hcomp,1926987,21
Asst Prof-Sft-Vm,1933181,14
Counseling Psychologist 2,1939161,29
Blank Ast 1,1940188,76
Radlg Tchno Prn,1960278,19
Mgt Svc Ofcr 2,1986095,25
Agron Aes-B/E/E,2021877,12
Med Ctr Envir Svc Worker 1,2075310,67
Operating Room Ast 1,2086537,49
Ehs Spec 2 Ex,2102243,25
Clin Lab Sci Spec,2145737,19
Transplant Crd 3,2148212,12
Hosp Blank Ast 2,2166661,57
Fundraising Mgr 2,2169741,21
Home Health Nurse 3,2170994,18
Sra 2,2173080,55
Clin Rsch Crd Sr Nex,2181792,34
Proj Scientist-Fy,2192390,27
Computer Resc Spec 2,2196494,46
Stdt Affairs Ofcr 4 Supv,2202799,32
Prof Of Clin-Fy,2214508,15
Prg Repr 2,2218582,52
Cook,2246164,93
Mgt Svc Ofcr 3,2286084,24
Ehs Spec 3,2320998,29
Hosp Lab Tchn 2,2324549,35
Tchn 2,2346986,76
Librarian-Career Status,2358734,25
Assoc Prof Of Clin-Fy,2369927,17
Dean,2381154,9
Lab Ast 3,2427803,78
Dir Asc,2448659,20
Recall Faculty,2455079,58
Spec,2472946,23
Pharmacy Tchn 3,2473453,39
Sra 3 Supv,2482614,39
Pharmacist Supv,2515981,14
Assoc Res-Fy,2528242,31
Asst Prof Of Clin-Fy,2576620,23
Cmty Educ Spec 1,2590184,119
Asst Res-Fy,2610391,38
Clin Lab Sci Supv Nex,2642560,19
Academic Administrator VII,2670461,17
Veterinarian Sr,2683115,24
Assoc Prof In Res-Hcomp,2684015,18
Fundraiser 5,2696484,30
Phys Ther 2 Nex,2735922,29
Bus Tchl Supp Anl 2,2751150,53
Police Ofcr,2751610,35
Lect-Ay-1/9,2795917,176
Veterinarian Lam Asc,2811549,49
Vice Chan Asc,2945764,14
Dean Ast,3009764,20
Anl 2 Supv,3052199,50
Res-Fy,3054912,32
Assoc Prof-Fy,3067378,29
Phys Plt Mech,3113572,61
Sys Adm 3,3140262,44
Chief Resid Phys-Non Rep,3165913,61
Assoc Prof-Sft-Vm,3176678,21
Progr 3,3183040,69
Asst Prof-Hcomp,3201859,25
Applications Progr 3,3222398,48
Prof-Fy-B/E/E,3226692,18
Phlebotomist Cert Tchn 2,3256211,60
Resid Phys I/Non Rep,3262109,123
Dev Engr Asc,3303172,52
Hosp Blank Ast 3,3363902,71
Assoc Proj Scientist-Fy,3408722,56
Applications Progr 4,3466610,43
Resp Ther 2,3496383,32
Med Ctr Food Svc Worker Prn,3552633,110
Oth Post-Md Train 2-8/Non Rep,3564474,80
Clin Rsch Crd,3670411,79
Stdt Affairs Ofcr 1,3735708,175
Asst Prof-Ay-B/E/E,3750655,34
Sra 4 Supv,3780301,52
Mgt Svc Ofcr 4,3835283,39
Academic Coord II-Fy,3836511,54
Resid-Vet Med/Non Rep,3937290,125
Electrn,3969261,53
Access Repr Prn,4056108,81
Progr 6,4195695,53
Assoc In __ -Ay-1/9-Gship,4225097,253
Pharmacy Tchn 2,4233314,80
Radlg Tchno,4249806,47
Assoc Prof-Hcomp,4253553,32
Progr 5,4265432,66
Clin Nurse 4,4330773,26
Teacher-Unex-Contract Yr,4333368,427
Reg Resp Ther 1,4410651,53
Sra 4,4535289,80
Anl 3 Supv,4603881,72
Cmty Educ Spec 2,4691744,181
Progr 4,4906494,78
Tchn,4948867,144
Patient Rcds Abstractor 3,4999863,77
Anl 6 Supv,5021564,55
Anl 8,5099842,58
Anl 8 Supv,5106363,46
Clin Lic Social Worker,5112048,60
Anl 5 Supv,5119788,63
Anesthetist Nurse Sr Ex,5152951,27
Progr 7,5239853,56
Patient Rcds Abstractor 4,5313292,59
Anl 4 Supv,5323279,76
Sra 1,5329290,164
Ultrasound Tchno Sr,5357311,51
Stdt Affairs Ofcr 3 Ex,5383666,101
Anl 7 Supv,5403157,57
Med Ast 2,5536321,126
Med Ast 1,5610001,139
Prof-Ay-Law,5675151,31
Pharmacist Sr Ex,5778941,38
Lect-Ay,5887539,170
Hosp Unit Svc Crd 3,5931203,140
Voc Nurse Sr,6199130,110
Assoc Prof-Ay-B/E/E,6209988,41
Tchn 3,6370280,138
Resid Phys/Subspec 4-8/Non Rep,6579789,144
Adm Crd Ofcr,6780196,54
Specialist Coop Ext,6927418,49
Prof In Res-Hcomp,7147679,35
Custodian Sr,7426876,218
Stdt 4,7540879,1793
Patient Biller 3,7569826,153
Blank Ast 4,8241715,167
Assoc Dean,8514561,33
Stdt 3,8665285,3065
Case Mgr Nex,8856012,84
Lect-Ay-Continuing,8888167,132
Stdt 2,9087133,3713
Med Ctr Custodian Sr,9517552,265
Stdt Affairs Ofcr 2,9757314,210
Nurse Practitioner 2,9961549,73
Asst Proj Scientist-Fy,10960057,217
Agron Aes,11016943,69
Med Ofc Svc Crd 2,11136874,291
Clin Lab Sci,11160535,119
Asst Prof-Ay,11186889,138
Admin Nurse 4,11222232,65
Prof-Sft-Vm,11291981,65
Nurse Pd,11293486,262
Staff Pharmacist 2,11636912,91
Anl 1,11890231,297
Sra 3,11923021,236
Assoc Prof Of Clin-Hcomp,12000753,46
Coop Ext Advisor,12013941,122
Anl 5,12230212,182
Sra 2 Nex,12291925,284
Anl 7,12470815,137
Anl 4,12764218,213
Med Ofc Svc Crd 3,12848602,265
Anl 6,13161648,173
Asc Physcn Diplomate,14561576,125
Assoc Prof-Ay,15193344,156
Blank Ast 2,15451828,494
Anl 3,15727370,291
Dir,16399356,110
Jr Specialist,16660045,891
Anl 2,16910243,361
Asst Prof Of Clin-Hcomp,17566185,73
Prof-Fy,19455264,119
Hs Assoc Clin Prof-Hcomp,19965912,80
Resid Phys II-Viii/Non Rep,24010052,469
Mgr,26625022,218
Admin Nurse 2 Nex,26743540,176
Teachg Asst-Gship,28015896,2000
Hs Asst Clin Prof-Hcomp,28209574,139
Prof-Ay-B/E/E,28955406,153
Hs Clin Prof-Hcomp,30957308,108
Gsr-Full Fee Rem,31577634,1847
Prof Of Clin-Hcomp,31602010,95
Postdoc-Employee,33061934,1004
Asc Physcn,37012103,211
Blank Ast 3,38111881,914
Prof-Hcomp,40279148,154
Prof-Ay,53093112,354
Clin Nurse 3,55301022,410
Clin Nurse 2,193136079,1776
