,Position,Wages,Count
272,Coord Public Prog Vi,968652,13
662,Payroll Anl 2,974512,18
845,Stdt Activities Appt Official,985240,415
303,Data Sys Anl 3,987261,14
274,Coord Public Prog Viii,987694,8
541,Institutional Rsch Anl 4,988760,10
947,User Experience Designer 4,990616,12
190,Bus Tchl Supp Supv 2,995410,13
213,Clerk Sr Or Secr,1007464,64
880,Stdt Svc Supv 2,1011473,14
371,Events Spec 2,1011521,36
563,Lab Ast 3,1015102,45
52,Admin Supv 2,1017244,13
67,Aerospace Mgr 3,1022888,4
176,Bldg Maint Worker Sr,1035949,23
226,Coach Ast 2,1047542,37
919,Teacher-Spec Prog,1050415,209
73,Agron Aes-B/E/E,1051308,5
395,External Rel Spec 5,1062115,9
14,Acad Prg Mgr 2,1070433,7
745,Publications Prod Spec 3,1079472,22
780,Res-Ay,1081522,6
131,Asst Proj Scientist-Fy-B/E/E,1087749,21
290,Custodial Supv 1,1087767,23
409,Fac Project Mgt Spec 3,1090683,16
558,K To 14 Acad Prep Spec 3,1100008,22
443,Financial Svc Supv 2,1102508,13
549,Intellectual Property Ofcr 4,1109387,8
337,Ehs Spec 4,1117941,12
559,K To 14 Acad Prep Spec 4,1132294,18
905,Sys Admst Mgr 1,1132910,11
453,Food Svc Supv 1,1141932,31
941,Tut-Non Gship,1159541,527
57,Admissions Recrmt Spec 2,1161282,39
2,Acad Achievement Cnslr 4,1166184,16
64,Aerospace Engr 4,1168190,10
924,Teachg Asst-Non Gship,1172554,169
7,Acad HR Anl 2,1179507,24
739,Publ Educ Spec 4,1228449,25
969,Writer Editor 4,1233775,18
45,Admin Mgr 4,1235329,5
804,Rsch Data Anl 2,1246729,53
805,Rsch Data Anl 3,1247312,21
857,Stdt Health Physcn 4,1252442,10
492,HR Supv 2,1252579,14
562,Lab Ast 2,1254950,95
838,Stdt Acad Advisor 4,1262447,18
210,Child Dev Ctr Teacher 1,1263927,39
824,Sr Lect Soe-Ay,1290485,10
487,HR Generalist 4,1290937,15
729,Project Policy Anl 5,1298907,13
59,Admissions Recrmt Spec 4,1312497,18
653,Organizational Cnslt 5,1313473,9
757,Reader-Non Gship,1324842,533
830,Sra 4,1347585,19
571,Lab Mechn Prn,1348901,21
87,Assoc Adj Prof-Ay,1355971,19
304,Data Sys Anl 4,1370370,16
412,Fac Supv 1,1410941,20
403,Fac Mgt Spec 3,1416178,23
109,Assoc Proj Scientist-Fy,1432852,24
633,Museum Sci Sr,1450104,22
279,Counseling Psychologist 3,1463306,23
239,Comm Spec 3,1473979,29
610,Marketing Spec 3,1487850,24
761,Recall Teaching,1491074,67
631,Museum Sci,1497911,36
958,Vis Asst Prof,1498298,47
431,Financial Anl Mgr 2,1503993,13
526,IT Security Anl 4,1509309,14
422,Financial Aid Ofcr 3,1531698,26
690,Plumber Pipefitter,1540943,18
961,Vis Prof,1551931,58
787,Rsch Adm 2,1563008,34
66,Aerospace Mgr 2,1567960,10
62,Aerospace Engr 2,1572279,17
785,Res-Fy-B/E/E,1586434,11
822,Specialist Coop Ext,1597858,11
882,Steamfitter,1601281,19
429,Financial Anl 5,1643113,14
696,Police Sergeant Supv 2,1662097,12
261,Contracts And Grants Supv 2,1681562,19
756,Reader-Gship,1684413,328
535,Info Sys Mgr 2,1692425,12
394,External Rel Spec 4,1692926,25
86,Asc Head Coach Crd 4,1695751,5
345,Electrn,1709775,21
893,Sty Engr,1724219,27
465,Fundraising Mgr 3,1726488,10
430,Financial Anl Mgr 1,1730902,17
9,Acad HR Anl 4,1739142,19
536,Info Sys Mgr 3,1747479,9
675,Phys Plt Laborer Gardener B,1757639,40
377,Exec Advisor 5,1758395,11
867,Stdt Life Dev Spec 3,1761815,37
825,Sr Lect-Ay-Continuing,1765144,17
719,Prof-Fy,1777108,10
875,Stdt Svc Mgr 1,1781370,19
63,Aerospace Engr 3,1788117,17
968,Writer Editor 3,1823862,39
913,Tchl Project Mgt Profl 4,1834278,20
488,HR Mgr 1,1836064,15
652,Organizational Cnslt 4,1837306,18
595,Library Ast 4,1839884,40
469,Gen Accountant 3,1852785,30
835,Stdt 4,1872452,314
76,Applications Progm Mgr 1,1875101,14
171,Blank Ast 1,1903892,109
459,Fundraiser 2 Nex,1923997,48
935,Trainer 4,1954534,27
336,Ehs Spec 3,1973297,27
737,Publ Educ Spec 2,2006493,64
321,Digital Comm Spec 4,2019169,25
768,Recreation Prg Instr 2,2048680,427
760,Recall Non-Faculty Acad,2066408,58
463,Fundraising Mgr 1,2066856,18
148,Ath Profl 3,2075393,46
534,Info Sys Mgr 1,2101075,17
402,Fac Mgt Spec 2,2102429,43
462,Fundraiser 5,2147454,24
552,Jr Specialist,2172842,134
8,Acad HR Anl 3,2194330,34
138,Asst Specialist,2216330,87
262,Cook,2220303,104
130,Asst Proj Scientist-Fy,2220909,53
485,HR Generalist 2,2246315,56
826,Sra 1,2259507,101
580,Lect In Summer Session,2265794,193
594,Library Ast 3,2272373,66
200,Carpenter Locksmith,2293988,41
393,External Rel Spec 3,2333525,46
533,Info Sys Anl 4,2384829,24
32,Act Prof-Ay-Law,2426976,12
410,Fac Project Mgt Spec 4,2454688,24
794,Rsch And Dev Engr 4,2464415,24
874,Stdt Svc Advisor 4,2470924,38
197,Career Svc Spec 4,2479064,45
599,Library Profl 4,2484921,52
827,Sra 2,2548004,77
246,Computer Resc Spec 2,2574488,50
44,Admin Mgr 3,2663160,16
792,Rsch And Dev Engr 2,2702898,48
793,Rsch And Dev Engr 3,2772459,38
90,Assoc Agron Aes-Ay,2786480,22
21,Academic Coord I-Fy,2803890,46
240,Comm Spec 4,2807767,36
49,Admin Ofcr 4,2860749,36
58,Admissions Recrmt Spec 3,2889320,55
723,Proj Scientist-Fy,2892857,34
829,Sra 3,2914211,58
188,Bus Tchl Supp Anl 3,2930463,44
814,Security Guard Sr,2931471,75
481,Gsr-Partial Fee Rem,2996327,261
457,Food Svc Worker Sr,3019604,185
872,Stdt Svc Advisor 2,3054345,66
43,Admin Mgr 2,3062267,23
137,Asst Res-Fy-B/E/E,3067279,41
372,Events Spec 3,3168630,62
113,Assoc Res-Fy,3311709,39
71,Agron Aes,3327835,17
738,Publ Educ Spec 3,3459538,82
16,Acad Prg Mgt Ofcr 5,3490728,28
320,Digital Comm Spec 3,3497994,59
759,Recall Faculty,3503699,87
34,Adj Prof-Ay,3582923,32
726,Project Policy Anl 2,3712550,100
183,Bus Sys Anl 4,3722497,40
380,Exec Ast 3,3748951,66
460,Fundraiser 3,3797746,66
323,Director,3799457,14
437,Financial Svc Anl 3,3823003,66
832,Stdt 1,3858098,2119
182,Bus Sys Anl 3,4006643,55
227,Coach Ast 3,4056989,43
187,Bus Tchl Supp Anl 2,4176468,77
94,Assoc Dean,4277022,18
903,Sys Adm 4,4278320,41
486,HR Generalist 3,4321319,68
461,Fundraiser 4,4479588,54
695,Police Ofcr,4600876,47
427,Financial Anl 3,4634406,72
837,Stdt Acad Advisor 3,4656546,92
72,Agron Aes-Ay,4787360,25
532,Info Sys Anl 3,4861852,60
728,Project Policy Anl 4,4936885,67
834,Stdt 3,5080720,1216
15,Acad Prg Mgt Ofcr 4,5111818,51
312,Dean,5173206,17
902,Sys Adm 3,5295745,61
136,Asst Res-Fy,5488396,82
482,Gsr-Tuit & Fee Rem,5520390,269
784,Res-Fy,5521345,50
42,Admin Mgr 1,5554105,51
589,Librarian-Career Status,5761437,64
727,Project Policy Anl 3,5921597,111
873,Stdt Svc Advisor 3,6125163,124
788,Rsch Adm 3,6133115,105
428,Financial Anl 4,6151140,69
480,Gsr-No Rem,6326983,644
48,Admin Ofcr 3,6356628,93
921,Teacher-Unex,6602842,796
789,Rsch Adm 4,6713624,88
584,Lect-Ay-1/9,6784902,555
436,Financial Svc Anl 2,6918953,134
23,Academic Coord II-Fy,6992173,70
292,Custodian,7114338,222
47,Admin Ofcr 2,7381214,166
82,Applications Progr 4,7971874,83
172,Blank Ast 2,7985310,279
296,Custodian Sr,8067870,337
107,Assoc Prof-Ay-B/E/E,8294966,44
115,Assoc Specialist,8365873,207
97,Assoc In __ -Ay-1/9-Gship,9628653,608
493,Head Coach 5,9710081,27
583,Lect-Ay,9792652,254
81,Applications Progr 3,10275823,134
821,Specialist,11438068,180
586,Lect-Ay-Continuing,12362954,205
129,Asst Prof-Ay-B/E/E,12932949,75
833,Stdt 2,14269585,4882
718,Prof-Ay-Law,15076648,52
128,Asst Prof-Ay,15586291,142
173,Blank Ast 3,25925869,646
479,Gsr-Full Fee Rem,26590605,1228
106,Assoc Prof-Ay,28541119,241
923,Teachg Asst-Gship,29415931,2663
698,Postdoc-Employee,39780085,1272
717,Prof-Ay-B/E/E,52401578,231
716,Prof-Ay,100729882,559
